date,escopo_autuacao,uf,quantidade_autos
01-SET-2021,CMT - Capacidade Máxima de Tração,RJ,2
01-SET-2021,CMT - Capacidade Máxima de Tração,RJ,8
01-SET-2021,Evasão de Balança,GO,1723
01-SET-2021,Evasão de Balança,MG,3363
01-SET-2021,Evasão de Balança,RJ,4811
01-SET-2021,Excesso de Peso,ES,65
01-SET-2021,Excesso de Peso,GO,43
01-SET-2021,Excesso de Peso,MG,2
01-SET-2021,Excesso de Peso,MG,434
01-SET-2021,Excesso de Peso,MT,54
01-SET-2021,Excesso de Peso,MT,70
01-SET-2021,Excesso de Peso,PR,162
01-SET-2021,Excesso de Peso,SP,134
01-OUT-2021,CMT - Capacidade Máxima de Tração,MG,1
01-OUT-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-OUT-2021,CMT - Capacidade Máxima de Tração,RJ,2
01-OUT-2021,CMT - Capacidade Máxima de Tração,SP,2
01-OUT-2021,Evasão de Balança,SP,1442
01-OUT-2021,Excesso de Peso,ES,345
01-OUT-2021,Excesso de Peso,MG,251
01-OUT-2021,Excesso de Peso,MT,279
01-OUT-2021,Excesso de Peso,PR,362
01-OUT-2021,Excesso de Peso,RJ,317
01-OUT-2021,Excesso de Peso,SC,141
01-OUT-2021,Excesso de Peso,SC,622
01-NOV-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-NOV-2021,Excesso de Peso,GO,49
01-NOV-2021,Excesso de Peso,GO,58
01-NOV-2021,Excesso de Peso,PR,101
01-NOV-2021,Excesso de Peso,PR,124
01-NOV-2021,Excesso de Peso,PR,157
01-NOV-2021,Excesso de Peso,RJ,257
01-NOV-2021,Excesso de Peso,SC,193
01-NOV-2021,Excesso de Peso,SP,195
01-DEZ-2021,CMT - Capacidade Máxima de Tração,ES,1
01-DEZ-2021,CMT - Capacidade Máxima de Tração,MG,1
01-DEZ-2021,CMT - Capacidade Máxima de Tração,MT,1
01-DEZ-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-DEZ-2021,Evasão de Balança,ES,194
01-DEZ-2021,Evasão de Balança,MT,330
01-DEZ-2021,Excesso de Peso,ES,124
01-DEZ-2021,Excesso de Peso,ES,136
01-DEZ-2021,Excesso de Peso,GO,151
01-DEZ-2021,Excesso de Peso,MG,192
01-DEZ-2021,Excesso de Peso,MT,77
01-DEZ-2021,Excesso de Peso,PR,103
01-DEZ-2021,Excesso de Peso,RJ,441
01-DEZ-2021,Excesso de Peso,RJ,711
01-DEZ-2021,Excesso de Peso,RS,23
01-DEZ-2021,Excesso de Peso,RS,31
01-DEZ-2021,Excesso de Peso,SC,272
01-JAN-2022,CMT - Capacidade Máxima de Tração,MG,1
01-JAN-2022,CMT - Capacidade Máxima de Tração,RJ,4
01-JAN-2022,Evasão de Balança,MT,899
01-JAN-2022,Evasão de Balança,RJ,2022
01-JAN-2022,Excesso de Peso,ES,71
01-JAN-2022,Excesso de Peso,GO,126
01-JAN-2022,Excesso de Peso,GO,353
01-JAN-2022,Excesso de Peso,MG,754
01-JAN-2022,Excesso de Peso,PR,44
01-JAN-2022,Excesso de Peso,RJ,372
01-JAN-2022,Excesso de Peso,SC,353
01-JAN-2022,Excesso de Peso,SP,103
01-JAN-2021,CMT - Capacidade Máxima de Tração,RJ,2
01-JAN-2021,CMT - Capacidade Máxima de Tração,SC,3
01-JAN-2021,Evasão de Balança,ES,41
01-JAN-2021,Excesso de Peso,MG,172
01-JAN-2021,Excesso de Peso,PR,33
01-JAN-2021,Excesso de Peso,SC,478
01-JAN-2021,Excesso de Peso,SP,46
01-JAN-2021,Excesso de Peso,SP,443
01-FEV-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-FEV-2021,CMT - Capacidade Máxima de Tração,RJ,3
01-FEV-2021,Evasão de Balança,RJ,6508
01-FEV-2021,Excesso de Peso,MG,32
01-FEV-2021,Excesso de Peso,MG,84
01-FEV-2021,Excesso de Peso,RJ,276
01-FEV-2021,Excesso de Peso,RJ,3275
01-FEV-2021,Excesso de Peso,RS,33
01-FEV-2021,Excesso de Peso,SC,626
01-FEV-2021,Excesso de Peso,SP,50
01-FEV-2021,Excesso de Peso,SP,386
01-MAR-2021,CMT - Capacidade Máxima de Tração,ES,1
01-MAR-2021,Evasão de Balança,SP,1074
01-MAR-2021,Excesso de Peso,ES,125
01-MAR-2021,Excesso de Peso,ES,1155
01-MAR-2021,Excesso de Peso,MG,33
01-MAR-2021,Excesso de Peso,MG,78
01-MAR-2021,Excesso de Peso,PR,59
01-MAR-2021,Excesso de Peso,PR,363
01-MAR-2021,Excesso de Peso,RJ,3437
01-MAR-2021,Excesso de Peso,RS,26
01-MAR-2021,Excesso de Peso,SC,81
01-MAR-2021,Excesso de Peso,SP,46
01-ABR-2021,CMT - Capacidade Máxima de Tração,MG,3
01-ABR-2021,CMT - Capacidade Máxima de Tração,MS,1
01-ABR-2021,CMT - Capacidade Máxima de Tração,SC,2
01-ABR-2021,Evasão de Balança,MG,233
01-ABR-2021,Excesso de Peso,MG,37
01-ABR-2021,Excesso de Peso,SC,238
01-ABR-2021,Excesso de Peso,SP,66
01-MAI-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-MAI-2021,Evasão de Balança,ES,215
01-MAI-2021,Evasão de Balança,GO,798
01-MAI-2021,Evasão de Balança,RJ,3464
01-MAI-2021,Excesso de Peso,ES,135
01-MAI-2021,Excesso de Peso,GO,3
01-MAI-2021,Excesso de Peso,GO,99
01-MAI-2021,Excesso de Peso,GO,562
01-MAI-2021,Excesso de Peso,MG,98
01-MAI-2021,Excesso de Peso,MS,9
01-MAI-2021,Excesso de Peso,PR,107
01-JUN-2021,Evasão de Balança,ES,415
01-JUN-2021,Evasão de Balança,GO,962
01-JUN-2021,Evasão de Balança,MG,1744
01-JUN-2021,Evasão de Balança,SP,804
01-JUN-2021,Excesso de Peso,ES,593
01-JUN-2021,Excesso de Peso,GO,256
01-JUN-2021,Excesso de Peso,MG,174
01-JUN-2021,Excesso de Peso,MS,52
01-JUN-2021,Excesso de Peso,PR,125
01-JUN-2021,Excesso de Peso,RJ,442
01-JUN-2021,Excesso de Peso,RS,50
01-JUL-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-JUL-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-JUL-2021,Evasão de Balança,SP,832
01-JUL-2021,Excesso de Peso,ES,63
01-JUL-2021,Excesso de Peso,ES,112
01-JUL-2021,Excesso de Peso,GO,317
01-JUL-2021,Excesso de Peso,MG,254
01-JUL-2021,Excesso de Peso,MS,4
01-JUL-2021,Excesso de Peso,RS,223
01-JUL-2021,Excesso de Peso,SP,108
01-AGO-2021,CMT - Capacidade Máxima de Tração,PR,1
01-AGO-2021,CMT - Capacidade Máxima de Tração,RJ,6
01-AGO-2021,CMT - Capacidade Máxima de Tração,SP,2
01-AGO-2021,Evasão de Balança,ES,20
01-AGO-2021,Excesso de Peso,ES,62
01-AGO-2021,Excesso de Peso,ES,87
01-AGO-2021,Excesso de Peso,GO,65
01-AGO-2021,Excesso de Peso,GO,194
01-AGO-2021,Excesso de Peso,MG,183
01-AGO-2021,Excesso de Peso,MT,47
01-AGO-2021,Excesso de Peso,MT,209
01-AGO-2021,Excesso de Peso,SP,403
01-SET-2021,CMT - Capacidade Máxima de Tração,SP,2
01-SET-2021,Excesso de Peso,ES,287
01-SET-2021,Excesso de Peso,MG,1446
01-SET-2021,Excesso de Peso,PR,643
01-SET-2021,Excesso de Peso,RJ,347
01-SET-2021,Excesso de Peso,RJ,456
01-SET-2021,Excesso de Peso,RJ,1894
01-SET-2021,Excesso de Peso,RS,74
01-SET-2021,Excesso de Peso,SP,735
01-OUT-2021,Evasão de Balança,GO,1964
01-OUT-2021,Evasão de Balança,MG,1858
01-OUT-2021,Excesso de Peso,GO,72
01-OUT-2021,Excesso de Peso,GO,455
01-OUT-2021,Excesso de Peso,RJ,1713
01-OUT-2021,Excesso de Peso,RS,235
01-OUT-2021,Excesso de Peso,SC,164
01-NOV-2021,CMT - Capacidade Máxima de Tração,ES,1
01-NOV-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-NOV-2021,CMT - Capacidade Máxima de Tração,RS,1
01-NOV-2021,Evasão de Balança,RJ,4392
01-NOV-2021,Excesso de Peso,BA,5
01-NOV-2021,Excesso de Peso,ES,94
01-NOV-2021,Excesso de Peso,ES,256
01-NOV-2021,Excesso de Peso,RS,57
01-NOV-2021,Excesso de Peso,SC,169
01-DEZ-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-DEZ-2021,Evasão de Balança,GO,1021
01-DEZ-2021,Evasão de Balança,MG,637
01-DEZ-2021,Evasão de Balança,RJ,3099
01-DEZ-2021,Excesso de Peso,ES,374
01-DEZ-2021,Excesso de Peso,MG,131
01-DEZ-2021,Excesso de Peso,PR,112
01-DEZ-2021,Excesso de Peso,RJ,320
01-DEZ-2021,Excesso de Peso,RS,177
01-DEZ-2021,Excesso de Peso,SP,205
01-JAN-2022,CMT - Capacidade Máxima de Tração,MG,3
01-JAN-2022,Evasão de Balança,MG,172
01-JAN-2022,Excesso de Peso,RJ,803
01-JAN-2022,Excesso de Peso,RS,7
01-JAN-2022,Excesso de Peso,RS,10
01-JAN-2022,Excesso de Peso,SC,330
01-JAN-2021,CMT - Capacidade Máxima de Tração,ES,1
01-JAN-2021,Excesso de Peso,ES,95
01-JAN-2021,Excesso de Peso,ES,939
01-JAN-2021,Excesso de Peso,MS,83
01-JAN-2021,Excesso de Peso,RJ,1
01-JAN-2021,Excesso de Peso,RJ,307
01-JAN-2021,Excesso de Peso,SC,51
01-FEV-2021,Evasão de Balança,ES,762
01-FEV-2021,Excesso de Peso,ES,816
01-FEV-2021,Excesso de Peso,GO,1
01-FEV-2021,Excesso de Peso,PR,81
01-FEV-2021,Excesso de Peso,PR,414
01-MAR-2021,CMT - Capacidade Máxima de Tração,SP,2
01-MAR-2021,Evasão de Balança,RJ,6943
01-MAR-2021,Excesso de Peso,SP,488
01-ABR-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-ABR-2021,Evasão de Balança,GO,347
01-ABR-2021,Excesso de Peso,ES,78
01-ABR-2021,Excesso de Peso,GO,35
01-ABR-2021,Excesso de Peso,MS,37
01-ABR-2021,Excesso de Peso,RJ,3512
01-ABR-2021,Excesso de Peso,RS,40
